iter	Passed	Remaining
0	455	454909
1	495	247024
2	516	171578
3	536	133674
4	554	110262
5	571	94633
6	587	83305
7	602	74755
8	621	68463
9	638	63224
10	657	59101
11	672	55383
12	688	52263
13	703	49562
14	720	47336
15	736	45279
16	751	43480
17	769	41984
18	784	40525
19	799	39184
20	814	37975
21	830	36899
22	845	35926
23	860	35000
24	877	34240
25	890	33360
26	904	32605
27	919	31923
28	934	31301
29	949	30716
30	966	30225
31	982	29715
32	997	29216
33	1012	28753
34	1027	28324
35	1042	27912
36	1057	27534
37	1070	27112
38	1087	26803
39	1105	26528
40	1124	26306
41	1140	26007
42	1155	25711
43	1169	25416
44	1186	25175
45	1198	24866
46	1213	24611
47	1229	24376
48	1243	24142
49	1258	23917
50	1275	23734
51	1290	23520
52	1305	23320
53	1321	23142
54	1336	22962
55	1351	22782
56	1367	22618
57	1380	22419
58	1396	22276
59	1411	22115
60	1426	21952
61	1441	21802
62	1455	21652
63	1471	21516
64	1487	21402
65	1503	21276
66	1519	21154
67	1536	21060
68	1583	21370
69	1617	21491
70	1661	21738
71	1694	21842
72	1724	21897
73	1767	22120
74	1811	22339
75	1851	22514
76	1888	22635
77	1910	22588
78	1926	22462
79	1943	22345
80	1959	22227
81	1974	22105
82	1991	21998
83	2006	21884
84	2022	21768
85	2036	21646
86	2054	21563
87	2134	22119
88	2206	22587
89	2245	22700
90	2287	22845
91	2316	22867
92	2349	22910
93	2367	22814
94	2382	22694
95	2397	22573
96	2412	22459
97	2427	22345
98	2440	22212
99	2457	22118
100	2472	22006
101	2487	21897
102	2501	21787
103	2516	21684
104	2532	21582
105	2549	21500
106	2565	21412
107	2580	21312
108	2594	21211
109	2611	21128
110	2630	21064
111	2648	20997
112	2667	20938
113	2682	20847
114	2697	20757
115	2716	20704
116	2731	20614
117	2746	20531
118	2762	20449
119	2778	20373
120	2794	20300
121	2809	20221
122	2824	20138
123	2837	20044
124	2852	19967
125	2869	19905
126	2884	19828
127	2899	19752
128	2913	19674
129	2929	19602
130	2943	19527
131	2960	19467
132	2976	19401
133	2991	19332
134	3006	19264
135	3019	19179
136	3033	19111
137	3049	19047
138	3064	18984
139	3084	18945
140	3100	18890
141	3116	18829
142	3131	18768
143	3147	18709
144	3163	18651
145	3180	18603
146	3195	18542
147	3211	18485
148	3229	18442
149	3244	18382
150	3258	18321
151	3275	18272
152	3290	18218
153	3306	18162
154	3321	18107
155	3335	18047
156	3348	17979
